latitude,longitude,id,additionalInfo_0,advice_for_motorists_1,advice_for_motorists_2,attendingGroups_0,attendingGroups_1,attendingGroups_2,system_record_created_at,description_headline,diversions,duration,encodedPolylines_0_coords,encodedPolylines_0_levels,scheduled_end_time,is_resolved/ended,description_summary,is_impacting_network,incidentKind,is_unverified_report,isMajor,isNewIncident,last_updated_at,mainCategory,advice_for_motorists,scheduled_period_0_closureType,scheduled_period_0_direction,scheduled_period_0_finishTime,scheduled_period_0_fromDay,scheduled_period_0_startTime,scheduled_period_0_toDay,PT_impact,roads_affected_0_conditionTendency,roads_affected_0_crossStreet,roads_affected_0_delay,roads_affected_0_impactedLanes_0_affectedDirection,roads_affected_0_impactedLanes_0_closedLanes,roads_affected_0_impactedLanes_0_description,roads_affected_0_impactedLanes_0_extent,roads_affected_0_impactedLanes_0_numberOfLanes,roads_affected_0_impactedLanes_0_roadType,roads_affected_0_locationQualifier,roads_affected_0_mainStreet,roads_affected_0_quadrant,roads_affected_0_queueLength,roads_affected_0_region,roads_affected_0_secondLocation,roads_affected_0_suburb,roads_affected_0_trafficVolume,speedLimit,scheduled_start_time
147.3968,-35.06566,727398,,,,,,,2017-12-03 15:45:53,HAZARD Pothole, ,None,,,None,True,HAZARD Pothole - BOMEN Olympic Hwy at Bomen Rd,False,Unplanned,False,False,False,1512286421805,Hazard, ,,,,,,, ,,Bomen Road,,Northbound, , ,Affected, , ,at,Olympic Highway,,0,REG_SOUTH, ,Bomen,,-1,None
151.10066,-33.72317,727400,,,,,Tow truck,,2017-12-03 16:00:09,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - NORMANHURST Pennant Hills Rd at Fraser Rd,False,Unplanned,False,False,False,1512283140449,Breakdown, ,,,,,,, ,,Fraser Road,,Northbound,1,Lane 1,Lanes closed,3, ,at,Pennant Hills Road,,0,SYD_NORTH, ,Normanhurst,,-1,None
151.40561,-33.26925,727399,,,,,,,2017-12-03 15:47:08,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - ALISON M1 Pacific Mwy (F3) approaching Alison Rd,False,Unplanned,False,False,False,1512280392466,Breakdown, ,,,,,,, ,,Alison Road,Significant,Southbound, , ,Affected, , ,approaching,M1 Pacific Motorway (F3),,7,REG_NORTH, ,Alison,Heavy,-1,None
151.09639,-33.82264,727397,,,,,,,2017-12-03 15:39:15,ACCIDENT 3 vehicles, ,None,,,None,True,ACCIDENT 3 vehicles - RHODES Church St at Ryde Bridge,False,Unplanned,False,False,False,1512278497481,Accident, ,,,,,,, ,,Ryde Bridge, ,Northbound,1,Lane 1,Lanes closed,3, ,at,Church Street,,-1,SYD_NORTH, ,Rhodes,Heavy,-1,None
151.28908,-33.42174,727401,,,,,RMS,,2017-12-03 16:20:56,ACCIDENT 2 cars, ,None,,,None,True,ACCIDENT 2 cars - SOMERSBY M1 Pacific Mwy (F3) at Wisemans Ferry Rd,False,Unplanned,False,False,False,1512280395930,Accident, ,,,,,,, ,,Wisemans Ferry Road,,Southbound, , ,Affected, , ,at,M1 Pacific Motorway (F3),,0,REG_NORTH, ,Somersby,,-1,None
147.36885,-35.11888,727403,,,,,,,2017-12-03 17:05:04,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - WAGGA WAGGA Sturt Hwy at Baylis St,False,Unplanned,False,False,False,1512282771530,Breakdown, ,,,,,,, ,,Baylis Street,,,,,,,,at,Sturt Highway,,0,REG_SOUTH, ,Wagga Wagga,,-1,None
151.064,-33.86842,727402,,,,,,,2017-12-03 16:38:06,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - HOMEBUSH WEST Centenary Dr at Arthur St,False,Unplanned,False,False,False,1512281764516,Breakdown, ,,,,,,, ,,Arthur Street,,Northbound,1,Lane 3,Lanes closed,3, ,at,Centenary Drive,,0,SYD_MET, ,Homebush West,,-1,None
150.64299,-33.54185,727404,,,,,,,2017-12-03 17:15:53,HAZARD Wires down, ,None,,,None,True,HAZARD Wires down - KURRAJONG HEIGHTS Bells Line Of Road between Hermitage Rd and Stone Terrace,False,Unplanned,False,False,False,1512287171906,Hazard, ,,,,,,, ,,Hermitage Road,,Both directions, , ,Affected, , ,between,Bells Line Of Road,,0,SYD_WEST,Stone Terrace,Kurrajong Heights,,-1,None
151.2019,-33.82783,727405,,,,,,,2017-12-03 18:00:18,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - CROWS NEST Falcon St at Alexander St,False,Unplanned,False,False,False,1512285856343,Breakdown, ,,,,,,, ,,Alexander Street,,Westbound,2,Lane 1,Lanes closed, , ,at,Falcon Street,,0,SYD_NORTH, ,Crows Nest,,-1,None
151.21347,-33.8558,727406,,,,,,,2017-12-03 19:33:53,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - SYDNEY Sydney Harbour Tunnel near Mid Tunnel,False,Unplanned,False,False,False,1512291022482,Breakdown, ,,,,,,, ,,Mid Tunnel,,Northbound,1,Lane 1,Lanes closed,2, ,near,Sydney Harbour Tunnel,,0,SYD_MET, ,Sydney,,-1,None
151.06712,-33.87534,727407,,,,,,,2017-12-03 20:09:37,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - STRATHFIELD Centenary Dr at Weeroona Rd,False,Unplanned,False,False,False,1512293662468,Breakdown, ,,,,,,, ,,Weeroona Road,,Southbound,1,Lane 1,Lanes closed,3, ,at,Centenary Drive,,0,SYD_MET, ,Strathfield,,-1,None
151.16856,-33.863,727408,,,,,,,2017-12-03 20:40:57,ACCIDENT 3 vehicles, ,None,,,None,True,ACCIDENT 3 vehicles - ROZELLE Victoria Rd at Wellington St,False,Unplanned,False,False,False,1512296085397,Accident, ,,,,,,, ,,Wellington Street,,Eastbound,1,Lane 1,Lanes closed,3, ,at,Victoria Road,,0,SYD_MET, ,Rozelle,,-1,None
151.02754,-33.71528,727409,,,,,,,2017-12-03 20:57:39,ACCIDENT 3 vehicles, ,None,,,None,True,ACCIDENT 3 vehicles - DURAL New Line Rd near David Rd,False,Unplanned,False,False,False,1512297498131,Accident,There are moderate delays.<br/>,,,,,,, ,,David Road,,Northbound,1,Lane 1,Lanes closed,2, ,near,New Line Road,,0,SYD_NORTH, ,Dural,,-1,None
151.74867,-32.9378,727414,,,,,,,2017-12-03 22:28:52,TRAFFIC LIGHTS FLASHING YELLOW, ,None,,,None,True,TRAFFIC LIGHTS FLASHING YELLOW - HAMILTON SOUTH Glebe Rd at City Rd,False,Unplanned,False,False,False,1512304803714,Traffic lights flashing yellow, ,,,,,,, ,,City Road,,All directions, , ,Affected, , ,at,Glebe Road,,0,REG_NORTH, ,Hamilton South,,-1,None
150.89534,-31.78304,727415,,,,,,,2017-12-03 22:53:58,ACCIDENT Car, ,None,,,None,True,ACCIDENT Car - MURRURUNDI New England Hwy near 5km South of Murrurundi,False,Unplanned,False,False,False,1512303781256,Accident, ,,,,,,, ,,5km South of Murrurundi,,,,,,,,near,New England Highway,,0,REG_NORTH, ,Murrurundi,,-1,None
151.16794,-33.81141,727440,,,,,,,2017-12-04 09:20:06,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - LANE COVE NORTH Lane Cove Tunnel,False,Unplanned,False,False,False,1512340705954,Breakdown, ,,,,,,, ,, ,,Westbound,1,Lane 1,Lanes closed,3, ,at,Lane Cove Tunnel,,0,SYD_NORTH, ,Lane Cove North,,-1,None
151.10299,-33.86858,727420,,,,,RMS,,2017-12-04 03:30:54,ACCIDENT Car, ,None,,,None,True,ACCIDENT Car - CONCORD Parramatta Rd near Broughton St,False,Unplanned,False,False,False,1512324288613,Accident, ,,,,,,, ,,Broughton Street,,Eastbound,1,Lane 1,Lanes closed,3, ,near,Parramatta Road,,0,SYD_MET, ,Concord,,-1,None
151.19392,-33.87243,727434,,,,,,,2017-12-04 08:28:45,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - PYRMONT Western Distributor near Pyrmont Bridge Rd,False,Unplanned,False,False,False,1512337825747,Breakdown, ,,,,,,, ,,Pyrmont Bridge Road,,Westbound, ,Breakdown lane,Lanes closed, , ,near,Western Distributor,,0,SYD_MET, ,Pyrmont,,-1,None
151.06701,-33.89121,727443,,,,,,,2017-12-04 09:57:48,"ACCIDENT Car, Truck", ,None,,,None,True,"ACCIDENT Car, Truck - GREENACRE Roberts Rd at Rebecca Rd",False,Unplanned,False,False,False,1512344446505,Accident, ,,,,,,, ,,Rebecca Road,,Northbound, , ,Affected, , ,at,Roberts Road,,0,SYD_SOUTH, ,Greenacre,,-1,None
150.8669,-34.39632,727437,,,,,RMS,,2017-12-04 08:59:30,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - MOUNT PLEASANT M1 Princes Mwy (Mount Ousley Rd) approaching New Mount Pleasant Rd overpass,False,Unplanned,False,False,False,1512338855240,Breakdown, ,,,,,,, ,,New Mount Pleasant Road  overpass,,Northbound,1,Lane 1,Lanes closed,3, ,approaching,M1 Princes Motorway (Mount Ousley Road),,0,REG_SOUTH, ,Mount Pleasant,,-1,None
151.5006,-32.80934,727428,,,,,RMS,,2017-12-04 07:28:53,HAZARD Animal carcass, ,None,,,None,True,HAZARD Animal carcass - HEDDON GRETA Hunter Exp near Main Rd southbound on-ramp,False,Unplanned,False,False,False,1512333782379,Hazard,There is a dead kangaroo in lane 2.<br/>,,,,,,, ,,Main Road southbound on-ramp,,Southbound, , ,Affected, , ,near,Hunter Expressway,,0,REG_NORTH, ,Heddon Greta,,-1,None
151.21494,-33.90088,727429,,,,,,,2017-12-04 07:45:43,BREAKDOWN Truck, ,None,,,None,True,BREAKDOWN Truck - WATERLOO South Dowling St just past Dacey Ave,False,Unplanned,False,False,False,1512334917025,Breakdown, ,,,,,,, ,,Dacey Avenue,,Southbound,1,Lane 1,Lanes closed,2, ,just past,South Dowling Street,,0,SYD_MET, ,Waterloo,,-1,None
150.87588,-34.44599,727438,,,,,,,2017-12-04 09:08:27,ACCIDENT Car, ,None,,,None,True,ACCIDENT Car - SPRING HILL Springhill Rd at Masters Rd,False,Unplanned,False,False,False,1512339661079,Accident, ,,,,,,, ,,Masters Road,,Northbound,1,Lane 3,Lanes closed,3, ,at,Springhill Road,,0,REG_SOUTH, ,Spring Hill,,-1,None
151.02187,-33.81906,727431,,,,,,,2017-12-04 08:08:44,ACCIDENT Car, ,None,,,None,True,ACCIDENT Car - ROSEHILL James Ruse Dr at Hassall St,False,Unplanned,False,False,False,1512335836039,Accident, ,,,,,,, ,,Hassall Street,,Northbound,1,Lane 1,Lanes closed,3, ,at,James Ruse Drive,,0,SYD_WEST, ,Rosehill,,-1,None
151.41657,-33.4384,727418,,,,,,,2017-12-04 00:31:49,ACCIDENT 2 cars,Serpentine Road.<br/>,None,,,None,True,ACCIDENT 2 cars - TERRIGAL Terrigal Dr at Serpentine Rd,False,Unplanned,False,False,False,1512311341590,Accident, ,,,,,,, ,,Serpentine Road,,Both directions, , ,Closed, ,Road,at,Terrigal Drive,,0,REG_NORTH, ,Terrigal,,-1,None
